Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Bronx,Female,Latino/Hispanic,6,9.5,1,16.7,10,15.9
Bronx,Male,"Asian/Pacific
Islander",2,125.7,1,50,1,62.9
Bronx,Male,Black,19,87.4,1,5.3,24,110.3
Bronx,Male,Latino/Hispanic,22,42.1,2,9.1,17,32.5
Bronx,Male,White,1,67.5,0,0,2,135
Bronx,Female,Black,8,32.1,3,37.5,10,40.1
Bronx,Female,Latino/Hispanic,3,4.1,0,0,6,8.2
Bronx,Male,"Asian/Pacific
Islander",1,22.1,0,0,1,22.1
Bronx,Male,Black,16,73.4,2,12.5,10,45.9
Bronx,Male,Latino/Hispanic,24,37.8,3,12.5,12,18.9
Bronx,Male,White,3,38.6,2,66.7,2,25.7
Bronx,Female,Black,13,44,3,23.1,11,37.3
Bronx,Female,Latino/Hispanic,6,10.3,1,16.7,6,10.3
Bronx,Male,Black,25,98.6,6,24,18,71
Bronx,Male,Latino/Hispanic,20,40.7,1,5,9,18.3
Bronx,Male,White,4,212.7,2,50,3,159.5
Bronx,Female,Black,4,25.6,0,0,3,19.2
Bronx,Female,Latino/Hispanic,6,14.8,0,0,6,14.8
Bronx,Male,Black,11,80,1,9.1,7,50.9
Bronx,Male,Latino/Hispanic,16,44.5,1,6.3,12,33.4
Bronx,Male,White,1,91,0,0,0,0
Bronx,Male,Latino/Hispanic,2,13.5,0,0,1,6.7
Bronx,Male,White,1,7.5,0,0,1,7.5
Bronx,Female,Black,8,14.1,3,37.5,9,15.9
Bronx,Female,Latino/Hispanic,4,16.6,0,0,1,4.2
Bronx,Male,Black,8,18.3,1,12.5,12,27.4
Bronx,Male,Latino/Hispanic,8,40.8,1,12.5,4,20.4
Bronx,Male,White,1,13.5,0,0,0,0
Bronx,Female,Black,6,21.1,1,16.7,6,21.1
Bronx,Female,Latino/Hispanic,2,2.9,0,0,10,14.4
Bronx,Male,"Asian/Pacific
Islander",1,10.2,0,0,0,0
Bronx,Male,Black,19,81.4,4,21.1,8,34.3
Bronx,Male,Latino/Hispanic,22,37.1,5,22.7,8,13.5
Bronx,Male,White,7,35.5,0,0,1,5.1
Brooklyn,Female,"Asian/Pacific
Islander",1,0.7,0,0,2,1.4
Brooklyn,Female,Black,65,17.9,19,29.2,53,14.6
Brooklyn,Female,Latino/Hispanic,17,8.4,5,29.4,14,6.9
Brooklyn,Female,Other/Unknown,2,9.5,0,0,0,0
Brooklyn,Female,White,4,1,1,25,5,1.3
Brooklyn,Male,"Asian/Pacific
Islander",7,5.5,1,14.3,4,3.1
Brooklyn,Male,Black,197,71.5,39,19.8,100,36.3
Brooklyn,Male,Latino/Hispanic,67,35.9,19,28.4,49,26.3
Brooklyn,Male,Other/Unknown,1,5.8,0,0,0,0
Brooklyn,Male,White,49,13,11,22.4,20,5.3
Brooklyn,Female,Black,14,14.8,3,21.4,16,16.9
Brooklyn,Female,Latino/Hispanic,2,9.9,2,100,6,29.7
Brooklyn,Female,Other/Unknown,1,30.4,0,0,0,0
Brooklyn,Male,Black,67,93.5,13,19.4,27,37.7
Brooklyn,Male,Latino/Hispanic,8,49.5,2,25,10,61.9
Brooklyn,Male,Other/Unknown,1,44.9,0,0,0,0
Brooklyn,Male,White,7,25.7,1,14.3,2,7.3
Brooklyn,Male,Latino/Hispanic,2,14.9,1,50,2,14.9
Brooklyn,Male,White,3,7.1,0,0,2,4.8
Brooklyn,Male,"Asian/Pacific
Islander",3,10.2,0,0,2,6.8
Brooklyn,Male,Black,1,20,0,0,0,0
Brooklyn,Male,Latino/Hispanic,5,29.9,3,60,4,23.9
Brooklyn,Male,White,4,5.9,0,0,2,3
Brooklyn,Female,Black,7,11.2,2,28.6,5,8
Brooklyn,Female,Latino/Hispanic,2,21.5,0,0,0,0
Brooklyn,Female,White,1,5.4,0,0,0,0
Brooklyn,Male,Black,16,34.8,7,43.8,16,34.8
Brooklyn,Male,Latino/Hispanic,1,14.3,0,0,3,42.8
Brooklyn,Male,White,1,6,0,0,0,0
Brooklyn,Female,Latino/Hispanic,1,7,0,0,0,0
Brooklyn,Female,White,1,1.3,1,100,2,2.5
